,Name,URL,Condition,Make,Model,Transmission,Drive Type,Mileage,Build Year,Body Type,Car Features,Price
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
TOYOTA RAV4 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-2017-5313160
",Used,Toyota,null,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 6,000,000"
BMW IX3 ELECTRIC 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/bmw-ix3-electric-2022-brand-new-5313153
",New,BMW,null,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 12,000,000"
TOYOTA CH-R 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-ch-r-2017-5313140
",Used,Toyota,CH-R,Automatic,Other,"50,000 km",2017,4x4-suvs,null,"Br 4,350,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
